,Value
2021-08-09 16:12:39+00:00,9.801
2021-08-09 16:12:52+00:00,9.836
2021-08-09 16:13:06+00:00,9.844
2021-08-09 16:15:09+00:00,9.837
2021-08-09 16:15:22+00:00,9.836
2021-08-09 16:15:36+00:00,9.843
2021-08-09 17:15:09+00:00,9.849
2021-08-09 17:15:22+00:00,9.872
2021-08-09 17:15:36+00:00,9.879
2021-08-09 18:15:09+00:00,9.873
2021-08-09 18:15:22+00:00,9.912
2021-08-09 18:15:36+00:00,9.9
2021-08-09 19:15:09+00:00,9.903
2021-08-09 19:15:23+00:00,9.904
2021-08-09 19:15:36+00:00,9.857
2021-08-09 20:15:09+00:00,9.907
2021-08-09 20:15:23+00:00,9.871
2021-08-09 20:15:36+00:00,9.872
2021-08-09 21:15:09+00:00,9.921
2021-08-09 21:15:23+00:00,9.907
2021-08-09 21:15:36+00:00,9.884
2021-08-09 22:15:10+00:00,9.897
2021-08-09 22:15:23+00:00,9.89
2021-08-09 22:15:36+00:00,9.886
2021-08-09 23:15:10+00:00,9.935
2021-08-09 23:15:23+00:00,9.885
2021-08-09 23:15:37+00:00,9.897
2021-08-10 00:15:10+00:00,9.915
2021-08-10 00:15:23+00:00,9.889
2021-08-10 00:15:37+00:00,9.905
2021-08-10 01:15:10+00:00,9.907
2021-08-10 01:15:23+00:00,9.924
2021-08-10 01:15:37+00:00,9.908
2021-08-10 02:15:10+00:00,9.912
2021-08-10 02:15:24+00:00,9.933
2021-08-10 02:15:37+00:00,9.906
2021-08-10 03:15:10+00:00,9.906
2021-08-10 03:15:24+00:00,9.904
2021-08-10 03:15:37+00:00,9.947
2021-08-10 04:15:10+00:00,9.946
2021-08-10 04:15:24+00:00,9.912
2021-08-10 04:15:37+00:00,9.925
2021-08-10 05:15:11+00:00,9.921
2021-08-10 05:15:24+00:00,9.928
2021-08-10 05:15:37+00:00,9.908
2021-08-10 06:15:11+00:00,9.901
2021-08-10 06:15:24+00:00,9.922
2021-08-10 06:15:38+00:00,9.957
2021-08-10 07:15:11+00:00,9.914
2021-08-10 07:15:24+00:00,9.938
2021-08-10 07:15:38+00:00,9.912
2021-08-10 08:15:11+00:00,9.945
2021-08-10 08:15:24+00:00,9.903
2021-08-10 08:15:38+00:00,9.906
2021-08-10 09:15:11+00:00,9.948
2021-08-10 09:15:25+00:00,9.917
2021-08-10 09:15:38+00:00,9.93
2021-08-10 10:15:11+00:00,9.905
2021-08-10 10:15:25+00:00,9.902
2021-08-10 10:15:38+00:00,9.949
2021-08-10 11:15:11+00:00,9.902
2021-08-10 11:15:25+00:00,9.91
2021-08-10 11:15:38+00:00,9.9
2021-08-10 12:15:12+00:00,9.849
2021-08-10 12:15:25+00:00,9.827
2021-08-10 12:15:39+00:00,9.858
2021-08-10 13:15:12+00:00,9.804
2021-08-10 13:15:25+00:00,9.854
2021-08-10 13:15:39+00:00,9.846
2021-08-10 14:15:12+00:00,9.798
2021-08-10 14:15:25+00:00,9.818
2021-08-10 14:15:39+00:00,9.846
2021-08-10 15:15:12+00:00,9.892
2021-08-10 15:15:25+00:00,9.877
2021-08-10 15:15:39+00:00,9.896
2021-08-10 16:15:12+00:00,9.896
2021-08-10 16:15:26+00:00,9.865
2021-08-10 16:15:39+00:00,9.879
2021-08-10 17:15:12+00:00,9.859
2021-08-10 17:15:26+00:00,9.91
2021-08-10 17:15:39+00:00,9.893
2021-08-10 18:15:12+00:00,9.857
2021-08-10 18:15:26+00:00,9.86
2021-08-10 18:15:39+00:00,9.909
2021-08-10 19:15:12+00:00,9.906
2021-08-10 19:15:26+00:00,9.863
2021-08-10 19:15:39+00:00,9.914
2021-08-10 20:15:13+00:00,9.914
2021-08-10 20:15:26+00:00,9.903
2021-08-10 20:15:39+00:00,9.883
2021-08-10 21:15:13+00:00,9.906
2021-08-10 21:15:26+00:00,9.893
2021-08-10 21:15:40+00:00,9.927
2021-08-10 22:15:13+00:00,9.927
2021-08-10 22:15:26+00:00,9.908
2021-08-10 22:15:40+00:00,9.927
2021-08-10 23:15:13+00:00,9.923
2021-08-10 23:15:27+00:00,9.889
2021-08-10 23:15:40+00:00,9.878
2021-08-11 00:15:13+00:00,9.921
2021-08-11 00:15:27+00:00,9.907
2021-08-11 00:15:40+00:00,9.926
2021-08-11 01:15:13+00:00,9.891
2021-08-11 01:15:27+00:00,9.916
2021-08-11 01:15:40+00:00,9.926
2021-08-11 02:15:14+00:00,9.92
2021-08-11 02:15:27+00:00,9.931
2021-08-11 02:15:41+00:00,9.887
2021-08-11 03:15:14+00:00,9.927
2021-08-11 03:15:27+00:00,9.933
2021-08-11 03:15:41+00:00,9.888
2021-08-11 04:15:14+00:00,9.917
2021-08-11 04:15:27+00:00,9.924
2021-08-11 04:15:41+00:00,9.92
2021-08-11 05:15:41+00:00,9.884
2021-08-11 06:15:14+00:00,9.932
2021-08-11 06:15:28+00:00,9.933
2021-08-11 06:15:41+00:00,9.9
2021-08-11 07:15:14+00:00,9.885
2021-08-11 07:15:28+00:00,9.875
2021-08-11 07:15:41+00:00,9.928
2021-08-11 08:15:14+00:00,9.896
2021-08-11 08:15:28+00:00,9.885
2021-08-11 08:15:41+00:00,9.889
2021-08-11 09:15:15+00:00,9.891
2021-08-11 09:15:28+00:00,9.894
2021-08-11 09:15:41+00:00,9.885
2021-08-11 10:15:15+00:00,9.874
2021-08-11 10:15:28+00:00,9.875
2021-08-11 10:15:42+00:00,9.882
2021-08-11 11:15:15+00:00,9.898
2021-08-11 11:15:28+00:00,9.88
2021-08-11 11:15:42+00:00,9.926
2021-08-11 12:15:15+00:00,9.889
2021-08-11 12:15:28+00:00,9.879
2021-08-11 12:15:42+00:00,9.919
2021-08-11 13:15:15+00:00,9.922
2021-08-11 13:15:29+00:00,9.922
2021-08-11 13:15:42+00:00,9.922
2021-08-11 14:15:15+00:00,9.88
2021-08-11 14:15:29+00:00,9.903
2021-08-11 14:15:42+00:00,9.91
2021-08-11 15:15:15+00:00,9.928
2021-08-11 15:15:29+00:00,9.888
2021-08-11 15:15:42+00:00,9.928
2021-08-11 16:15:16+00:00,9.907
2021-08-11 16:15:29+00:00,9.926
2021-08-11 16:15:42+00:00,9.877
2021-08-11 17:15:16+00:00,9.876
2021-08-11 17:15:29+00:00,9.929
2021-08-11 17:15:43+00:00,9.931
2021-08-11 18:15:16+00:00,9.868
2021-08-11 18:15:29+00:00,9.904
2021-08-11 18:15:43+00:00,9.921
2021-08-11 19:15:16+00:00,9.932
2021-08-11 19:15:29+00:00,9.91
2021-08-11 19:15:43+00:00,9.908
2021-08-11 20:15:16+00:00,9.907
2021-08-11 20:15:30+00:00,9.904
2021-08-11 20:15:43+00:00,9.877
2021-08-11 21:15:16+00:00,9.911
2021-08-11 21:15:30+00:00,9.929
2021-08-11 21:15:43+00:00,9.883
2021-08-11 22:15:16+00:00,9.901
2021-08-11 22:15:30+00:00,9.91
2021-08-11 22:15:43+00:00,9.91
2021-08-11 23:15:17+00:00,9.931
2021-08-11 23:15:30+00:00,9.908
2021-08-11 23:15:43+00:00,9.932
2021-08-12 00:15:17+00:00,9.936
2021-08-12 00:15:30+00:00,9.899
2021-08-12 00:15:44+00:00,9.938
2021-08-12 01:15:17+00:00,9.927
2021-08-12 01:15:30+00:00,9.888
2021-08-12 01:15:44+00:00,9.935
2021-08-12 02:15:17+00:00,9.942
2021-08-12 02:15:30+00:00,9.899
2021-08-12 02:15:44+00:00,9.944
2021-08-12 03:15:17+00:00,9.942
2021-08-12 03:15:31+00:00,9.909
2021-08-12 03:15:45+00:00,9.938
2021-08-12 04:15:17+00:00,9.893
2021-08-12 04:15:31+00:00,9.903
2021-08-12 04:15:44+00:00,9.941
2021-08-12 05:15:17+00:00,9.924
2021-08-12 05:15:31+00:00,9.943
2021-08-12 05:15:44+00:00,9.94
2021-08-12 06:15:18+00:00,9.929
2021-08-12 06:15:31+00:00,9.935
2021-08-12 06:15:44+00:00,9.938
2021-08-12 07:15:18+00:00,9.926
2021-08-12 07:15:31+00:00,9.945
2021-08-12 07:15:45+00:00,9.92
2021-08-12 08:15:18+00:00,9.906
2021-08-12 08:15:31+00:00,9.929
2021-08-12 08:15:45+00:00,9.907
2021-08-12 09:15:18+00:00,9.93
2021-08-12 09:15:31+00:00,9.94
2021-08-12 09:15:45+00:00,9.937
2021-08-12 10:15:18+00:00,9.915
2021-08-12 10:15:32+00:00,9.92
2021-08-12 10:15:45+00:00,9.902
2021-08-12 11:15:18+00:00,9.917
2021-08-12 11:15:32+00:00,9.943
2021-08-12 11:15:45+00:00,9.934
2021-08-12 12:15:18+00:00,9.921
2021-08-12 12:15:32+00:00,9.922
2021-08-12 12:15:45+00:00,9.936
2021-08-12 13:15:19+00:00,9.923
2021-08-12 13:15:32+00:00,9.907
2021-08-12 13:15:45+00:00,9.934
2021-08-12 14:15:19+00:00,9.932
2021-08-12 14:15:32+00:00,9.893
2021-08-12 14:15:46+00:00,9.91
2021-08-12 15:15:19+00:00,9.907
2021-08-12 15:15:32+00:00,9.92
2021-08-12 15:15:46+00:00,9.887
2021-08-12 16:15:19+00:00,9.935
2021-08-12 16:15:32+00:00,9.896
2021-08-12 16:15:46+00:00,9.931
2021-08-12 17:15:19+00:00,9.909
2021-08-12 17:15:33+00:00,9.877
2021-08-12 17:15:46+00:00,9.904
2021-08-12 18:15:19+00:00,9.958
2021-08-12 18:15:33+00:00,9.932
2021-08-12 18:15:46+00:00,9.95
2021-08-12 19:15:19+00:00,9.937
2021-08-12 19:15:33+00:00,9.96
2021-08-12 19:15:46+00:00,9.964
2021-08-12 20:15:20+00:00,9.958
2021-08-12 20:15:33+00:00,9.928
2021-08-12 20:15:46+00:00,9.908
