,Value
2022-06-27 20:20:00+00:00,846.2
2022-06-27 20:30:00+00:00,855.2
2022-06-27 20:40:00+00:00,836.2
2022-06-27 20:50:00+00:00,876.2
2022-06-27 21:00:00+00:00,853.2
2022-06-27 21:10:00+00:00,841.2
2022-06-27 21:20:00+00:00,851.2
2022-06-27 21:30:00+00:00,848.2
2022-06-27 21:40:00+00:00,858.2
2022-06-27 21:50:00+00:00,853.2
2022-06-27 22:00:00+00:00,847.2
2022-06-27 22:10:00+00:00,824.2
2022-06-27 22:20:00+00:00,849.2
2022-06-27 22:30:00+00:00,854.2
2022-06-27 22:40:00+00:00,855.2
2022-06-27 22:50:00+00:00,846.2
2022-06-27 23:00:00+00:00,843.2
2022-06-27 23:10:00+00:00,851.2
2022-06-27 23:20:00+00:00,844.2
2022-06-27 23:30:00+00:00,877.2
2022-06-27 23:40:00+00:00,857.2
2022-06-27 23:50:00+00:00,851.2
2022-06-28 00:00:00+00:00,859.2
2022-06-28 00:10:00+00:00,847.2
2022-06-28 00:20:00+00:00,868.2
2022-06-28 00:30:00+00:00,847.2
2022-06-28 00:40:00+00:00,843.2
2022-06-28 00:50:00+00:00,847.2
2022-06-28 01:00:00+00:00,873.2
2022-06-28 01:10:00+00:00,842.2
2022-06-28 01:20:00+00:00,830.2
2022-06-28 01:30:00+00:00,850.2
2022-06-28 01:40:00+00:00,852.2
2022-06-28 01:50:00+00:00,847.2
2022-06-28 02:00:00+00:00,846.2
2022-06-28 02:10:00+00:00,863.2
2022-06-28 02:20:00+00:00,852.2
2022-06-28 02:30:00+00:00,853.2
2022-06-28 02:40:00+00:00,847.2
2022-06-28 02:50:00+00:00,847.2
2022-06-28 03:00:00+00:00,852.2
2022-06-28 03:10:00+00:00,840.2
2022-06-28 03:20:00+00:00,841.2
2022-06-28 03:30:00+00:00,840.2
2022-06-28 03:40:00+00:00,839.2
2022-06-28 03:50:00+00:00,841.2
2022-06-28 04:00:00+00:00,841.2
2022-06-28 04:10:00+00:00,842.2
2022-06-28 04:20:00+00:00,842.2
2022-06-28 04:30:00+00:00,842.2
2022-06-28 04:40:00+00:00,841.2
2022-06-28 04:50:00+00:00,842.2
2022-06-28 05:00:00+00:00,841.2
2022-06-28 05:10:00+00:00,843.2
2022-06-28 05:20:00+00:00,842.2
2022-06-28 05:30:00+00:00,842.2
2022-06-28 05:40:00+00:00,842.2
2022-06-28 05:50:00+00:00,843.2
2022-06-28 06:00:00+00:00,843.2
2022-06-28 06:10:00+00:00,840.2
2022-06-28 06:20:00+00:00,841.2
2022-06-28 06:30:00+00:00,841.2
2022-06-28 06:40:00+00:00,843.2
2022-06-28 06:50:00+00:00,840.2
2022-06-28 07:00:00+00:00,841.2
2022-06-28 07:10:00+00:00,841.2
2022-06-28 07:20:00+00:00,841.2
2022-06-28 07:30:00+00:00,843.2
2022-06-28 07:40:00+00:00,840.2
2022-06-28 07:50:00+00:00,843.2
2022-06-28 08:00:00+00:00,842.2
2022-06-28 08:10:00+00:00,842.2
2022-06-28 08:20:00+00:00,842.2
2022-06-28 08:30:00+00:00,841.2
2022-06-28 08:40:00+00:00,842.2
2022-06-28 08:50:00+00:00,841.2
2022-06-28 09:00:00+00:00,839.2
2022-06-28 09:10:00+00:00,842.2
2022-06-28 09:20:00+00:00,843.2
2022-06-28 09:30:00+00:00,841.2
2022-06-28 09:40:00+00:00,840.2
2022-06-28 09:50:00+00:00,840.2
2022-06-28 10:00:00+00:00,841.2
2022-06-28 10:10:00+00:00,842.2
2022-06-28 10:20:00+00:00,842.2
2022-06-28 10:30:00+00:00,840.2
2022-06-28 10:40:00+00:00,838.2
2022-06-28 10:50:00+00:00,836.2
2022-06-28 11:00:00+00:00,836.2
2022-06-28 11:10:00+00:00,836.2
2022-06-28 11:20:00+00:00,834.2
2022-06-28 11:30:00+00:00,834.2
2022-06-28 11:40:00+00:00,835.2
2022-06-28 11:50:00+00:00,833.2
2022-06-28 12:00:00+00:00,834.2
2022-06-28 12:10:00+00:00,840.2
2022-06-28 12:24:00+00:00,836.2
2022-06-28 12:34:00+00:00,831.2
2022-06-28 12:44:00+00:00,838.2
2022-06-28 12:54:00+00:00,841.2
2022-06-28 13:04:00+00:00,835.2
2022-06-28 13:14:00+00:00,834.2
2022-06-28 13:24:00+00:00,830.2
2022-06-28 13:34:00+00:00,836.2
2022-06-28 13:44:00+00:00,838.2
2022-06-28 13:54:00+00:00,834.2
2022-06-28 14:04:00+00:00,837.2
2022-06-28 14:14:00+00:00,836.2
2022-06-28 14:28:00+00:00,836.2
2022-06-28 14:38:00+00:00,845.2
2022-06-28 14:48:00+00:00,840.2
2022-06-28 14:58:00+00:00,838.2
2022-06-28 15:08:00+00:00,837.2
2022-06-28 15:18:00+00:00,838.2
2022-06-28 15:28:00+00:00,835.2
2022-06-28 15:38:00+00:00,840.2
2022-06-28 15:48:00+00:00,837.2
2022-06-28 15:58:00+00:00,838.2
2022-06-28 16:08:00+00:00,838.2
2022-06-28 16:18:00+00:00,833.2
2022-06-28 16:28:00+00:00,838.2
2022-06-28 16:38:00+00:00,840.2
2022-06-28 16:48:00+00:00,837.2
2022-06-28 16:58:00+00:00,837.2
2022-06-28 17:08:00+00:00,826.2
2022-06-28 17:18:00+00:00,837.2
2022-06-28 17:28:00+00:00,837.2
2022-06-28 17:38:00+00:00,838.2
2022-06-28 17:48:00+00:00,840.2
2022-06-28 17:58:00+00:00,832.2
2022-06-28 18:08:00+00:00,827.2
2022-06-28 18:18:00+00:00,839.2
2022-06-28 18:28:00+00:00,840.2
2022-06-28 18:38:00+00:00,835.2
2022-06-28 18:48:00+00:00,836.2
2022-06-28 18:58:00+00:00,841.2
2022-06-28 19:08:00+00:00,837.2
2022-06-28 19:18:00+00:00,835.2
2022-06-28 19:28:00+00:00,837.2
2022-06-28 19:38:00+00:00,835.2
2022-06-28 19:48:00+00:00,837.2
2022-06-28 19:58:00+00:00,827.2
2022-06-28 20:08:00+00:00,842.2
2022-06-28 20:18:00+00:00,838.2
2022-06-28 20:28:00+00:00,833.2
2022-06-28 20:38:00+00:00,836.2
2022-06-28 20:48:00+00:00,835.2
2022-06-28 20:58:00+00:00,836.2
2022-06-28 21:08:00+00:00,834.2
2022-06-28 21:18:00+00:00,833.2
2022-06-28 21:28:00+00:00,833.2
2022-06-28 21:38:00+00:00,834.2
2022-06-28 21:48:00+00:00,833.2
2022-06-28 21:58:00+00:00,840.2
2022-06-28 22:08:00+00:00,833.2
2022-06-28 22:18:00+00:00,834.2
2022-06-28 22:28:00+00:00,830.2
2022-06-28 22:38:00+00:00,837.2
2022-06-28 22:48:00+00:00,830.2
2022-06-28 22:58:00+00:00,869.2
2022-06-28 23:08:00+00:00,833.2
2022-06-28 23:18:00+00:00,834.2
2022-06-28 23:28:00+00:00,834.2
2022-06-28 23:38:00+00:00,831.2
2022-06-28 23:48:00+00:00,819.2
2022-06-28 23:58:00+00:00,831.2
2022-06-29 00:08:00+00:00,836.2
2022-06-29 00:18:00+00:00,830.2
2022-06-29 00:28:00+00:00,829.2
2022-06-29 00:38:00+00:00,835.2
2022-06-29 00:48:00+00:00,831.2
2022-06-29 00:58:00+00:00,830.2
2022-06-29 01:08:00+00:00,831.2
2022-06-29 01:18:00+00:00,834.2
2022-06-29 01:28:00+00:00,832.2
2022-06-29 01:38:00+00:00,831.2
2022-06-29 01:48:00+00:00,833.2
2022-06-29 01:58:00+00:00,832.2
2022-06-29 02:08:00+00:00,832.2
2022-06-29 02:18:00+00:00,833.2
2022-06-29 02:28:00+00:00,836.2
2022-06-29 02:38:00+00:00,835.2
2022-06-29 02:48:00+00:00,835.2
2022-06-29 02:58:00+00:00,835.2
2022-06-29 03:08:00+00:00,835.2
2022-06-29 03:18:00+00:00,836.2
2022-06-29 03:28:00+00:00,835.2
2022-06-29 03:38:00+00:00,833.2
2022-06-29 03:48:00+00:00,834.2
2022-06-29 03:58:00+00:00,835.2
2022-06-29 04:08:00+00:00,835.2
2022-06-29 04:18:00+00:00,834.2
2022-06-29 04:28:00+00:00,834.2
2022-06-29 04:38:00+00:00,834.2
2022-06-29 04:48:00+00:00,833.2
2022-06-29 04:58:00+00:00,834.2
2022-06-29 05:08:00+00:00,836.2
2022-06-29 05:18:00+00:00,835.2
2022-06-29 05:28:00+00:00,835.2
2022-06-29 05:38:00+00:00,835.2
2022-06-29 05:48:00+00:00,836.2
2022-06-29 05:58:00+00:00,834.2
2022-06-29 06:08:00+00:00,835.2
2022-06-29 06:18:00+00:00,834.2
2022-06-29 06:28:00+00:00,834.2
2022-06-29 06:38:00+00:00,836.2
2022-06-29 06:48:00+00:00,834.2
2022-06-29 06:58:00+00:00,835.2
2022-06-29 07:08:00+00:00,834.2
2022-06-29 07:18:00+00:00,835.2
2022-06-29 07:28:00+00:00,836.2
2022-06-29 07:38:00+00:00,836.2
2022-06-29 07:48:00+00:00,835.2
2022-06-29 07:58:00+00:00,837.2
