,Value
2021-06-30 04:41:00+00:00,982.25
2021-06-30 04:51:00+00:00,982.25
2021-06-30 05:01:00+00:00,980.25
2021-06-30 05:11:00+00:00,978.25
2021-06-30 05:21:00+00:00,977.25
2021-06-30 05:31:00+00:00,975.25
2021-06-30 05:41:00+00:00,975.25
2021-06-30 05:51:00+00:00,974.25
2021-06-30 06:01:00+00:00,973.25
2021-06-30 06:11:00+00:00,971.25
2021-06-30 06:21:00+00:00,970.25
2021-06-30 06:31:00+00:00,969.25
2021-06-30 06:41:00+00:00,969.25
2021-06-30 06:51:00+00:00,968.25
2021-06-30 07:01:00+00:00,966.25
2021-06-30 07:11:00+00:00,965.25
2021-06-30 07:21:00+00:00,964.25
2021-06-30 07:31:00+00:00,963.25
2021-06-30 07:41:00+00:00,962.25
2021-06-30 07:51:00+00:00,962.25
2021-06-30 08:01:00+00:00,961.25
2021-06-30 08:11:00+00:00,959.25
2021-06-30 08:21:00+00:00,958.25
2021-06-30 08:31:00+00:00,957.25
2021-06-30 08:41:00+00:00,956.25
2021-06-30 08:51:00+00:00,956.25
2021-06-30 09:01:00+00:00,956.25
2021-06-30 09:11:00+00:00,954.25
2021-06-30 09:21:00+00:00,953.25
2021-06-30 09:31:00+00:00,951.25
2021-06-30 09:41:00+00:00,951.25
2021-06-30 09:51:00+00:00,951.25
2021-06-30 10:01:00+00:00,949.25
2021-06-30 10:11:00+00:00,950.25
2021-06-30 10:21:00+00:00,949.25
2021-06-30 10:31:00+00:00,949.25
2021-06-30 10:41:00+00:00,948.25
2021-06-30 10:51:00+00:00,948.25
2021-06-30 11:01:00+00:00,947.25
2021-06-30 11:11:00+00:00,946.25
2021-06-30 11:21:00+00:00,944.25
2021-06-30 11:31:00+00:00,943.25
2021-06-30 11:41:00+00:00,943.25
2021-06-30 11:51:00+00:00,942.25
2021-06-30 12:01:00+00:00,942.25
2021-06-30 12:11:00+00:00,942.25
2021-06-30 12:21:00+00:00,941.25
2021-06-30 12:31:00+00:00,941.25
2021-06-30 12:41:00+00:00,941.25
2021-06-30 12:51:00+00:00,940.25
2021-06-30 13:01:00+00:00,939.25
2021-06-30 13:11:00+00:00,941.25
2021-06-30 13:21:00+00:00,941.25
2021-06-30 13:31:00+00:00,942.25
2021-06-30 13:41:00+00:00,942.25
2021-06-30 13:51:00+00:00,942.25
2021-06-30 14:01:00+00:00,941.25
2021-06-30 14:11:00+00:00,942.25
2021-06-30 14:21:00+00:00,941.25
2021-06-30 14:31:00+00:00,941.25
2021-06-30 14:41:00+00:00,941.25
2021-06-30 14:51:00+00:00,940.25
2021-06-30 15:01:00+00:00,940.25
2021-06-30 15:11:00+00:00,940.25
2021-06-30 15:21:00+00:00,939.25
2021-06-30 15:31:00+00:00,938.25
2021-06-30 15:41:00+00:00,939.25
2021-06-30 15:51:00+00:00,938.25
2021-06-30 16:01:00+00:00,937.25
2021-06-30 16:11:00+00:00,936.25
2021-06-30 16:21:00+00:00,935.25
2021-06-30 16:31:00+00:00,935.25
2021-06-30 16:41:00+00:00,935.25
2021-06-30 16:51:00+00:00,934.25
2021-06-30 17:01:00+00:00,934.25
2021-06-30 17:11:00+00:00,934.25
2021-06-30 17:21:00+00:00,932.25
2021-06-30 17:31:00+00:00,932.25
2021-06-30 17:41:00+00:00,933.25
