,Value
2021-07-29 20:59:00+00:00,409.5
2021-07-29 21:09:00+00:00,406.5
2021-07-29 21:19:00+00:00,408.5
2021-07-29 21:29:00+00:00,408.5
2021-07-29 21:39:00+00:00,405.5
2021-07-29 21:49:00+00:00,399.5
2021-07-29 21:59:00+00:00,398.5
2021-07-29 22:09:00+00:00,400.5
2021-07-29 22:19:00+00:00,401.5
2021-07-29 22:29:00+00:00,399.5
2021-07-29 22:39:00+00:00,400.5
2021-07-29 22:49:00+00:00,397.5
2021-07-29 22:59:00+00:00,398.5
2021-07-29 23:09:00+00:00,398.5
2021-07-29 23:19:00+00:00,397.5
2021-07-29 23:29:00+00:00,404.5
2021-07-29 23:39:00+00:00,410.5
2021-07-29 23:49:00+00:00,400.5
2021-07-29 23:59:00+00:00,399.5
2021-07-30 00:09:00+00:00,394.5
2021-07-30 00:19:00+00:00,394.5
2021-07-30 00:29:00+00:00,395.5
2021-07-30 00:39:00+00:00,393.5
2021-07-30 00:49:00+00:00,390.5
2021-07-30 00:59:00+00:00,409.5
2021-07-30 01:09:00+00:00,388.5
2021-07-30 01:19:00+00:00,388.5
2021-07-30 01:29:00+00:00,388.5
2021-07-30 01:39:00+00:00,387.5
2021-07-30 01:49:00+00:00,390.5
2021-07-30 01:59:00+00:00,389.5
2021-07-30 02:09:00+00:00,388.5
2021-07-30 02:19:00+00:00,388.5
2021-07-30 02:29:00+00:00,391.5
2021-07-30 02:39:00+00:00,388.5
2021-07-30 02:49:00+00:00,389.5
2021-07-30 02:59:00+00:00,388.5
2021-07-30 03:09:00+00:00,389.5
2021-07-30 03:19:00+00:00,387.5
2021-07-30 03:29:00+00:00,384.5
2021-07-30 03:39:00+00:00,384.5
2021-07-30 03:49:00+00:00,382.5
2021-07-30 03:59:00+00:00,383.5
2021-07-30 04:09:00+00:00,384.5
2021-07-30 04:19:00+00:00,384.5
2021-07-30 04:29:00+00:00,382.5
2021-07-30 04:39:00+00:00,383.5
2021-07-30 04:49:00+00:00,381.5
2021-07-30 04:59:00+00:00,382.5
2021-07-30 05:09:00+00:00,381.5
2021-07-30 05:19:00+00:00,382.5
2021-07-30 05:29:00+00:00,380.5
