,Value
2022-09-07 02:49:00+00:00,6922.0
2022-09-07 02:59:00+00:00,6928.0
2022-09-07 03:09:00+00:00,6925.0
2022-09-07 03:19:00+00:00,6922.0
2022-09-07 03:29:00+00:00,6929.0
2022-09-07 03:39:00+00:00,6929.0
2022-09-07 03:49:00+00:00,6930.0
2022-09-07 03:59:00+00:00,6932.0
2022-09-07 04:09:00+00:00,6935.0
2022-09-07 04:19:00+00:00,6926.0
2022-09-07 04:29:00+00:00,6931.0
2022-09-07 04:39:00+00:00,6930.0
2022-09-07 04:49:00+00:00,6926.0
2022-09-07 04:59:00+00:00,6930.0
2022-09-07 05:09:00+00:00,6931.0
2022-09-07 05:19:00+00:00,6928.0
2022-09-07 05:29:00+00:00,6925.0
2022-09-07 05:39:00+00:00,6932.0
2022-09-07 05:49:00+00:00,6933.0
2022-09-07 05:59:00+00:00,6928.0
2022-09-07 06:09:00+00:00,6928.0
2022-09-07 06:19:00+00:00,6926.0
2022-09-07 06:29:00+00:00,6930.0
2022-09-07 06:39:00+00:00,6931.0
2022-09-07 06:49:00+00:00,6931.0
2022-09-07 06:59:00+00:00,6931.0
2022-09-07 07:09:00+00:00,6929.0
2022-09-07 07:19:00+00:00,6926.0
2022-09-07 07:29:00+00:00,6930.0
2022-09-07 07:39:00+00:00,6928.0
2022-09-07 07:49:00+00:00,6932.0
2022-09-07 07:59:00+00:00,6929.0
2022-09-07 08:09:00+00:00,6926.0
2022-09-07 08:19:00+00:00,6932.0
2022-09-07 08:29:00+00:00,6930.0
2022-09-07 08:39:00+00:00,6928.0
2022-09-07 08:49:00+00:00,6929.0
2022-09-07 08:59:00+00:00,6931.0
2022-09-07 09:09:00+00:00,6930.0
2022-09-07 09:19:00+00:00,6928.0
2022-09-07 09:29:00+00:00,6934.0
2022-09-07 09:39:00+00:00,6931.0
2022-09-07 09:49:00+00:00,6929.0
2022-09-07 09:59:00+00:00,6931.0
2022-09-07 10:09:00+00:00,6934.0
2022-09-07 10:19:00+00:00,6928.0
2022-09-07 10:29:00+00:00,6932.0
2022-09-07 10:39:00+00:00,6928.0
2022-09-07 10:49:00+00:00,6929.0
2022-09-07 10:59:00+00:00,6929.0
2022-09-07 11:09:00+00:00,6931.0
2022-09-07 11:19:00+00:00,6933.0
2022-09-07 11:29:00+00:00,6932.0
2022-09-07 11:39:00+00:00,6931.0
2022-09-07 11:49:00+00:00,6926.0
2022-09-07 11:59:00+00:00,6930.0
2022-09-07 12:09:00+00:00,6929.0
2022-09-07 12:19:00+00:00,6932.0
2022-09-07 12:29:00+00:00,6934.0
2022-09-07 12:39:00+00:00,6938.0
2022-09-07 12:49:00+00:00,6931.0
2022-09-07 12:59:00+00:00,6926.0
2022-09-07 13:09:00+00:00,6924.0
2022-09-07 13:19:00+00:00,6922.0
2022-09-07 13:29:00+00:00,6927.0
2022-09-07 13:39:00+00:00,6926.0
2022-09-07 13:49:00+00:00,6923.0
2022-09-07 13:59:00+00:00,6922.0
2022-09-07 14:09:00+00:00,6921.0
2022-09-07 14:19:00+00:00,6925.0
2022-09-07 14:29:00+00:00,6910.0
2022-09-07 14:39:00+00:00,6918.0
2022-09-07 14:49:00+00:00,6913.0
2022-09-07 14:59:00+00:00,6916.0
2022-09-07 15:09:00+00:00,6915.0
2022-09-07 15:19:00+00:00,6919.0
2022-09-07 15:29:00+00:00,6912.0
2022-09-07 15:39:00+00:00,6918.0
2022-09-07 15:49:00+00:00,6916.0
2022-09-07 15:59:00+00:00,6916.0
2022-09-07 16:09:00+00:00,6913.0
2022-09-07 16:19:00+00:00,6905.0
2022-09-07 16:29:00+00:00,7389.0
2022-09-07 16:39:00+00:00,6903.0
2022-09-07 16:49:00+00:00,6911.0
2022-09-07 16:59:00+00:00,6908.0
2022-09-07 17:09:00+00:00,6911.0
2022-09-07 17:19:00+00:00,6912.0
2022-09-07 17:29:00+00:00,6910.0
2022-09-07 17:39:00+00:00,6905.0
2022-09-07 17:49:00+00:00,6912.0
2022-09-07 17:59:00+00:00,6913.0
2022-09-07 18:09:00+00:00,6914.0
2022-09-07 18:19:00+00:00,6913.0
2022-09-07 18:29:00+00:00,6910.0
2022-09-07 18:39:00+00:00,6902.0
2022-09-07 18:49:00+00:00,6906.0
2022-09-07 18:59:00+00:00,6907.0
2022-09-07 19:09:00+00:00,6910.0
2022-09-07 19:19:00+00:00,6910.0
2022-09-07 19:29:00+00:00,6906.0
2022-09-07 19:39:00+00:00,6904.0
2022-09-07 19:49:00+00:00,6911.0
2022-09-07 19:59:00+00:00,6907.0
2022-09-07 20:09:00+00:00,6904.0
2022-09-07 20:19:00+00:00,6899.0
2022-09-07 20:29:00+00:00,6904.0
2022-09-07 20:39:00+00:00,6901.0
2022-09-07 20:49:00+00:00,6902.0
2022-09-07 20:59:00+00:00,6902.0
2022-09-07 21:09:00+00:00,6904.0
2022-09-07 21:19:00+00:00,6904.0
2022-09-07 21:29:00+00:00,6902.0
2022-09-07 21:39:00+00:00,6907.0
2022-09-07 21:49:00+00:00,6909.0
2022-09-07 21:59:00+00:00,6918.0
2022-09-07 22:09:00+00:00,6917.0
2022-09-07 22:19:00+00:00,6917.0
2022-09-07 22:29:00+00:00,6916.0
2022-09-07 22:39:00+00:00,6919.0
2022-09-07 22:49:00+00:00,6918.0
2022-09-07 22:59:00+00:00,6918.0
2022-09-07 23:09:00+00:00,6917.0
2022-09-07 23:19:00+00:00,6917.0
2022-09-07 23:29:00+00:00,6912.0
2022-09-07 23:39:00+00:00,6916.0
2022-09-07 23:49:00+00:00,6919.0
2022-09-07 23:59:00+00:00,6920.0
2022-09-08 00:09:00+00:00,6924.0
2022-09-08 00:19:00+00:00,6919.0
2022-09-08 00:29:00+00:00,6925.0
2022-09-08 00:39:00+00:00,6918.0
2022-09-08 00:49:00+00:00,6927.0
2022-09-08 00:59:00+00:00,6923.0
2022-09-08 01:09:00+00:00,6924.0
2022-09-08 01:19:00+00:00,6926.0
2022-09-08 01:29:00+00:00,6926.0
2022-09-08 01:39:00+00:00,6924.0
2022-09-08 01:49:00+00:00,6930.0
2022-09-08 01:59:00+00:00,6922.0
2022-09-08 02:09:00+00:00,6927.0
2022-09-08 02:19:00+00:00,6932.0
2022-09-08 02:29:00+00:00,6931.0
2022-09-08 02:39:00+00:00,6923.0
2022-09-08 02:49:00+00:00,6929.0
2022-09-08 02:59:00+00:00,6926.0
2022-09-08 03:09:00+00:00,6924.0
2022-09-08 03:19:00+00:00,6930.0
2022-09-08 03:29:00+00:00,6928.0
2022-09-08 03:39:00+00:00,6933.0
2022-09-08 03:49:00+00:00,6932.0
2022-09-08 03:59:00+00:00,6928.0
2022-09-08 04:09:00+00:00,6926.0
2022-09-08 04:19:00+00:00,6929.0
2022-09-08 04:29:00+00:00,6926.0
2022-09-08 04:39:00+00:00,6931.0
2022-09-08 04:49:00+00:00,6933.0
2022-09-08 04:59:00+00:00,6932.0
2022-09-08 05:09:00+00:00,6925.0
2022-09-08 05:19:00+00:00,6928.0
2022-09-08 05:29:00+00:00,6929.0
2022-09-08 05:39:00+00:00,6930.0
2022-09-08 05:49:00+00:00,6929.0
2022-09-08 05:59:00+00:00,6929.0
2022-09-08 06:09:00+00:00,6932.0
2022-09-08 06:19:00+00:00,6933.0
2022-09-08 06:29:00+00:00,6932.0
2022-09-08 06:39:00+00:00,6926.0
2022-09-08 06:49:00+00:00,6929.0
2022-09-08 06:59:00+00:00,6925.0
2022-09-08 07:09:00+00:00,6926.0
2022-09-08 07:19:00+00:00,6931.0
2022-09-08 07:29:00+00:00,6934.0
2022-09-08 07:39:00+00:00,6927.0
2022-09-08 07:49:00+00:00,6927.0
2022-09-08 07:59:00+00:00,6930.0
2022-09-08 08:09:00+00:00,6930.0
2022-09-08 08:19:00+00:00,6928.0
2022-09-08 08:29:00+00:00,6927.0
2022-09-08 08:39:00+00:00,6928.0
2022-09-08 08:49:00+00:00,6931.0
2022-09-08 08:59:00+00:00,6925.0
2022-09-08 09:09:00+00:00,6929.0
2022-09-08 09:19:00+00:00,6930.0
2022-09-08 09:29:00+00:00,6931.0
2022-09-08 09:39:00+00:00,6930.0
2022-09-08 09:49:00+00:00,6929.0
2022-09-08 09:59:00+00:00,6929.0
2022-09-08 10:09:00+00:00,6930.0
2022-09-08 10:19:00+00:00,6931.0
2022-09-08 10:29:00+00:00,6934.0
2022-09-08 10:39:00+00:00,6932.0
2022-09-08 10:49:00+00:00,6930.0
2022-09-08 10:59:00+00:00,6929.0
2022-09-08 11:09:00+00:00,6929.0
