,Value
2021-07-23 21:01:00+00:00,243.0
2021-07-23 21:11:00+00:00,241.0
2021-07-23 21:21:00+00:00,240.0
2021-07-23 21:31:00+00:00,238.0
2021-07-23 21:41:00+00:00,239.0
2021-07-23 21:51:00+00:00,240.0
2021-07-23 22:01:00+00:00,238.0
2021-07-23 22:11:00+00:00,239.0
2021-07-23 22:21:00+00:00,238.0
2021-07-23 22:31:00+00:00,238.0
2021-07-23 22:41:00+00:00,238.0
2021-07-23 22:51:00+00:00,238.0
2021-07-23 23:01:00+00:00,238.0
2021-07-23 23:11:00+00:00,238.0
2021-07-23 23:21:00+00:00,238.0
2021-07-23 23:31:00+00:00,239.0
2021-07-23 23:41:00+00:00,239.0
2021-07-23 23:51:00+00:00,238.0
2021-07-24 00:01:00+00:00,238.0
2021-07-24 00:11:00+00:00,238.0
2021-07-24 00:21:00+00:00,239.0
2021-07-24 00:31:00+00:00,239.0
2021-07-24 00:41:00+00:00,239.0
2021-07-24 00:51:00+00:00,239.0
2021-07-24 01:01:00+00:00,239.0
2021-07-24 01:11:00+00:00,238.0
2021-07-24 01:21:00+00:00,238.0
2021-07-24 01:31:00+00:00,237.0
2021-07-24 01:41:00+00:00,238.0
2021-07-24 01:51:00+00:00,238.0
2021-07-24 02:01:00+00:00,238.0
2021-07-24 02:11:00+00:00,238.0
2021-07-24 02:21:00+00:00,239.0
2021-07-24 02:31:00+00:00,239.0
2021-07-24 02:41:00+00:00,239.0
2021-07-24 02:51:00+00:00,239.0
2021-07-24 03:01:00+00:00,238.0
2021-07-24 03:11:00+00:00,238.0
2021-07-24 03:21:00+00:00,239.0
2021-07-24 03:31:00+00:00,239.0
2021-07-24 03:41:00+00:00,240.0
2021-07-24 03:51:00+00:00,240.0
2021-07-24 04:01:00+00:00,239.0
2021-07-24 04:11:00+00:00,241.0
2021-07-24 04:21:00+00:00,240.0
2021-07-24 04:31:00+00:00,240.0
2021-07-24 04:41:00+00:00,240.0
2021-07-24 04:51:00+00:00,240.0
2021-07-24 05:01:00+00:00,240.0
2021-07-24 05:11:00+00:00,240.0
2021-07-24 05:21:00+00:00,241.0
2021-07-24 05:31:00+00:00,240.0
2021-07-24 05:41:00+00:00,239.0
2021-07-24 05:51:00+00:00,239.0
2021-07-24 06:01:00+00:00,239.0
2021-07-24 06:11:00+00:00,239.0
2021-07-24 06:21:00+00:00,239.0
2021-07-24 06:31:00+00:00,239.0
2021-07-24 06:41:00+00:00,239.0
2021-07-24 06:51:00+00:00,239.0
2021-07-24 07:01:00+00:00,239.0
2021-07-24 07:11:00+00:00,239.0
2021-07-24 07:21:00+00:00,240.0
2021-07-24 07:31:00+00:00,239.0
2021-07-24 07:41:00+00:00,240.0
2021-07-24 07:51:00+00:00,239.0
2021-07-24 08:01:00+00:00,240.0
2021-07-24 08:11:00+00:00,240.0
2021-07-24 08:21:00+00:00,241.0
2021-07-24 08:31:00+00:00,240.0
2021-07-24 08:41:00+00:00,239.0
2021-07-24 08:51:00+00:00,241.0
2021-07-24 09:01:00+00:00,241.0
2021-07-24 09:11:00+00:00,242.0
2021-07-24 09:21:00+00:00,242.0
2021-07-24 09:31:00+00:00,241.0
2021-07-24 09:41:00+00:00,241.0
2021-07-24 09:51:00+00:00,241.0
2021-07-24 10:01:00+00:00,241.0
2021-07-24 10:11:00+00:00,241.0
2021-07-24 10:21:00+00:00,241.0
2021-07-24 10:31:00+00:00,240.0
2021-07-24 10:41:00+00:00,240.0
2021-07-24 10:51:00+00:00,240.0
2021-07-24 11:01:00+00:00,240.0
2021-07-24 11:11:00+00:00,240.0
2021-07-24 11:21:00+00:00,241.0
2021-07-24 11:31:00+00:00,242.0
2021-07-24 11:41:00+00:00,243.0
2021-07-24 11:51:00+00:00,243.0
2021-07-24 12:01:00+00:00,244.0
2021-07-24 12:11:00+00:00,243.0
2021-07-24 12:21:00+00:00,245.0
2021-07-24 12:31:00+00:00,244.0
2021-07-24 12:41:00+00:00,245.0
2021-07-24 12:51:00+00:00,245.0
2021-07-24 13:01:00+00:00,244.0
2021-07-24 13:11:00+00:00,245.0
2021-07-24 13:21:00+00:00,244.0
2021-07-24 13:31:00+00:00,245.0
2021-07-24 13:41:00+00:00,243.0
2021-07-24 13:51:00+00:00,241.0
2021-07-24 14:01:00+00:00,244.0
2021-07-24 14:11:00+00:00,240.0
2021-07-24 14:21:00+00:00,244.0
2021-07-24 14:31:00+00:00,242.0
2021-07-24 14:41:00+00:00,243.0
2021-07-24 14:51:00+00:00,244.0
2021-07-24 15:01:00+00:00,245.0
2021-07-24 15:11:00+00:00,243.0
2021-07-24 15:21:00+00:00,246.0
2021-07-24 15:31:00+00:00,240.0
2021-07-24 15:41:00+00:00,241.0
