Node ID,Site ID,Project,Site type,Mount Type,Offset (mm)
089A,PTK020,PTK,Lake,Bridge - S,2470.15
090A,DET016,DET,Stream,Bridge - S,2590.8
091A,PTK002,PTK,Stream,Bridge - S,2438.4
092A,DET026,DET,River,Bridge - S,5308.6
093A,PTK028,PTK,Lake,Bridge - S,1600.2
094A,PTK008,PTK,Lake,Bridge - S,3409.9
095A,MDOT3082,MDO,River,Bridge - S,7061.2
096A,DET038,DET,Stream,Bridge - S,4495.8
097A,ARB002,ARB,Stream,Post,1562.1
099A,MDOT4706,MDO,River,Bridge - S,6654.8
100A,PTK017,PTK,Lake,Bridge - S,1720.9
101A,DET011,DET,River,Bridge - S,4114.8
101A,MDOT6140,MDO,River,Bridge - S,7696.2
102A,PTK024,PTK,Lake,Bridge - S,1790.7
104A,MDOT2613,MDO,River,Bridge - D,10211
105A,MDOT2954,MDO,Stream,Bridge - S,4953
106A,MDOT6140,MDO,River,Bridge - S,7696.2
107A,MDOT1500,MDO,Stream,Bridge - D,1879.6
108A,MDOT10428,MDO,River,Bridge - D,6096
109A,MDOT9682,MDO,Stream,Bridge - S,2946.4
110A,MDOT6440,MDO,Stream,Bridge - S,3556
111A,DET020,DET,River,Bridge - D,2451.1
112A,MDOT4932,MDO,River,Bridge - D,7696.2
113A,MDOT4011,MDO,River,Bridge - S,7594.6
114A,ARB061,ARB,Stream,Bridge - S,2641.6
115A,MDOT4240,MDO,River,Bridge - S,10000
116A,ARB083,ARB,River,Bridge - S,2438.4
117A,MDOT8706,MDO,River,Bridge - D,5486.4
118A,ARB063,ARB,Stream,Bridge - D,2171.7
119A,MDOT2491,MDO,River,Bridge - D,7315.2
120A,PTK023,PTK,Lake,Post,1625.6
121A,PTK018,PTK,Lake,Post,1504.9
122A,ARB059,ARB,River,Bridge - S,7950.8
123A,ARB062,ARB,Stream,Bridge - S,2498.7
