Node ID,Site ID,start,end,Offset (mm),Clean
003A,ARB017,2022-06-01 18:32:00+00:00,2022-11-28 18:32:00+00:00,1517.65,1
004A,PTK016,2021-06-25 17:08:00+00:00,2021-12-22 17:08:00+00:00,1670,0
004A,PTK016,2021-12-22 17:08:00+00:00,2022-06-20 17:08:00+00:00,1670,0
006A,ARB013,2022-06-01 18:30:00+00:00,2022-11-28 18:30:00+00:00,3048,0
007A,DET001,2021-11-20 05:30:00+00:00,2022-05-19 05:30:00+00:00,5000,0
008A,ARB048,2021-12-03 18:33:00+00:00,2022-06-01 18:33:00+00:00,2734,1
008A,ARB048,2022-06-01 18:33:00+00:00,2022-11-28 18:33:00+00:00,2734,1
010A,PTK017,2021-12-22 16:22:00+00:00,2022-06-20 16:22:00+00:00,1683,0
012A,ARB032,2021-09-26 16:32:00+00:00,2022-03-25 16:32:00+00:00,1772,1
012A,ARB032,2022-03-25 16:32:00+00:00,2022-09-21 16:32:00+00:00,1772,1
013A,PTK013,2021-12-16 21:16:00+00:00,2022-06-14 21:16:00+00:00,1638,1
014A,PTK020,2021-07-02 16:04:00+00:00,2021-12-29 16:04:00+00:00,1135.5,0
014A,PTK020,2021-12-29 16:04:00+00:00,2022-06-27 16:04:00+00:00,1135.5,0
016A,ARB017,2021-06-24 08:15:00+00:00,2021-12-21 08:15:00+00:00,1517.65,1
019A,ARB028,2021-12-03 18:35:00+00:00,2022-06-01 18:35:00+00:00,4102,1
019A,ARB028,2022-06-01 18:35:00+00:00,2022-11-28 18:35:00+00:00,4102,1
020A,ARB056,2021-08-29 21:20:00+00:00,2022-02-25 21:20:00+00:00,1960,1
021A,DET015,2021-12-03 18:34:00+00:00,2022-06-01 18:34:00+00:00,3108.33,1
021A,DET015,2022-06-01 18:34:00+00:00,2022-11-28 18:34:00+00:00,3108.33,1
022A,ARB047,2021-12-03 18:28:00+00:00,2022-06-01 18:28:00+00:00,1780,1
022A,ARB047,2022-06-01 18:28:00+00:00,2022-11-28 18:28:00+00:00,1780,1
023A,PTK009,2021-12-03 18:32:00+00:00,2022-06-01 18:32:00+00:00,903.17,0
023A,PTK009,2022-06-01 18:32:00+00:00,2022-11-28 18:32:00+00:00,903.17,0
024A,DET001,2022-06-01 18:28:00+00:00,2022-11-28 18:28:00+00:00,5000,0
025A,PTK019,2021-12-03 18:31:00+00:00,2022-06-01 18:31:00+00:00,1110,0
025A,PTK019,2022-06-01 18:31:00+00:00,2022-11-28 18:31:00+00:00,1110,0
027A,ARB029,2021-12-03 18:29:00+00:00,2022-06-01 18:29:00+00:00,2035,0
027A,ARB029,2022-06-01 18:29:00+00:00,2022-11-28 18:29:00+00:00,2035,0
028A,PTK018,2021-12-22 16:09:00+00:00,2022-06-20 16:09:00+00:00,1403.35,0
029A,ARB026,2021-12-03 16:48:00+00:00,2022-06-01 16:48:00+00:00,4919,1
030A,DET016,2021-10-15 19:24:00+00:00,2022-04-13 19:24:00+00:00,2590.8,1
031A,PTK021,2021-08-15 16:27:00+00:00,2022-02-11 16:27:00+00:00,1355,0
032A,DET026,2021-12-26 18:44:00+00:00,2022-06-24 18:44:00+00:00,5500,0
035A,DET038,2021-12-26 20:12:00+00:00,2022-06-24 20:12:00+00:00,5207,0
036A,ARB003,2021-06-16 03:41:00+00:00,2021-12-13 03:41:00+00:00,1905,0
037A,ARB034,2021-12-03 18:32:00+00:00,2022-06-01 18:32:00+00:00,2063,1
037A,ARB034,2022-06-01 18:32:00+00:00,2022-11-28 18:32:00+00:00,2063,1
039A,ARB049,2021-12-03 18:32:00+00:00,2022-06-01 18:32:00+00:00,2254.25,0
039A,ARB049,2022-06-01 18:32:00+00:00,2022-11-28 18:32:00+00:00,2254.25,1
041A,PTK024,2021-11-18 22:03:00+00:00,2022-05-17 22:03:00+00:00,1598,1
042A,ARB025,2021-06-13 11:22:00+00:00,2021-12-10 11:22:00+00:00,4905.5,0
042A,ARB025,2021-12-10 11:22:00+00:00,2022-06-08 11:22:00+00:00,4905.5,0
043A,PTK027,2021-12-03 18:36:00+00:00,2022-06-01 18:36:00+00:00,3641.73,1
043A,PTK027,2022-06-01 18:36:00+00:00,2022-11-28 18:36:00+00:00,3641.73,1
044A,ARB002,2021-06-22 15:28:00+00:00,2021-12-19 15:28:00+00:00,1530,0
044A,ARB002,2021-12-19 15:28:00+00:00,2022-06-17 15:28:00+00:00,1530,0
045A,ARB050,2021-06-22 14:20:00+00:00,2021-12-19 14:20:00+00:00,1621,0
045A,ARB050,2021-12-19 14:20:00+00:00,2022-06-17 14:20:00+00:00,1621,0
046A,ARB018,2021-12-03 18:36:00+00:00,2022-06-01 18:36:00+00:00,2078,0
046A,ARB018,2022-06-01 18:36:00+00:00,2022-11-28 18:36:00+00:00,2078,0
048A,ARB006,2021-12-03 18:35:00+00:00,2022-06-01 18:35:00+00:00,2600,1
048A,ARB006,2022-06-01 18:35:00+00:00,2022-11-28 18:35:00+00:00,2600,1
049A,ARB046,2021-07-24 12:58:00+00:00,2022-01-20 12:58:00+00:00,1798,0
049A,ARB046,2022-01-20 12:58:00+00:00,2022-07-19 12:58:00+00:00,1798,0
051A,DET012,2021-12-03 18:36:00+00:00,2022-06-01 18:36:00+00:00,3994.15,0
051A,DET012,2022-06-01 18:36:00+00:00,2022-11-28 18:36:00+00:00,3994.15,0
