Node ID,Site ID,start,end,Offset (mm),Clean
052A,PTK010,2021-12-03 18:32:00+00:00,2022-06-01 18:32:00+00:00,1754,0
052A,PTK010,2022-06-01 18:32:00+00:00,2022-11-28 18:32:00+00:00,1754,0
053A,ARB015,2021-10-24 02:27:00+00:00,2022-04-22 02:27:00+00:00,1930,1
054A,ARB012,2022-06-01 18:33:00+00:00,2022-11-28 18:33:00+00:00,6858,0
055A,PTK022,2021-12-03 18:35:00+00:00,2022-06-01 18:35:00+00:00,1500,1
055A,PTK022,2022-06-01 18:35:00+00:00,2022-11-28 18:35:00+00:00,1500,1
056A,PTK023,2021-12-27 13:00:00+00:00,2022-06-25 13:00:00+00:00,1605,0
057A,PTK026,2021-12-03 18:32:00+00:00,2022-06-01 18:32:00+00:00,1355,0
057A,PTK026,2022-06-01 18:32:00+00:00,2022-11-28 18:32:00+00:00,1355,1
058A,PTK012,2021-12-03 18:31:00+00:00,2022-06-01 18:31:00+00:00,1903,1
058A,PTK012,2022-06-01 18:31:00+00:00,2022-11-28 18:31:00+00:00,1903,1
060A,ARB080,2021-12-02 17:20:00+00:00,2022-05-31 17:20:00+00:00,1791,1
061A,MDOT1072,2022-01-07 19:57:00+00:00,2022-07-06 19:57:00+00:00,4013.2,0
064A,PTK014,2021-08-20 23:00:00+00:00,2022-02-16 23:00:00+00:00,1841.5,0
065A,MDOT2471,2021-12-03 18:34:00+00:00,2022-06-01 18:34:00+00:00,2610,1
065A,MDOT2471,2022-06-01 18:34:00+00:00,2022-11-28 18:34:00+00:00,2610,1
068A,ARB027,2021-12-19 19:01:00+00:00,2022-06-17 19:01:00+00:00,6667,0
069A,MDOT7079,2021-12-03 18:29:00+00:00,2022-06-01 18:29:00+00:00,4350,1
069A,MDOT7079,2022-06-01 18:29:00+00:00,2022-11-28 18:29:00+00:00,4350,1
070A,MDOT7166,2021-12-03 18:34:00+00:00,2022-06-01 18:34:00+00:00,2850,0
070A,MDOT7166,2022-06-01 18:34:00+00:00,2022-11-28 18:34:00+00:00,2850,0
072A,MDOT2613,2021-12-17 20:40:00+00:00,2022-06-15 20:40:00+00:00,10211,0
074A,ARB015,2022-06-01 18:36:00+00:00,2022-11-28 18:36:00+00:00,1930,1
081A,ARB031,2022-06-01 18:31:00+00:00,2022-11-28 18:31:00+00:00,8213.73,0
082A,PTK025,2022-06-01 18:30:00+00:00,2022-11-28 18:30:00+00:00,3327.5,1
083A,PTK014,2022-06-01 18:31:00+00:00,2022-11-28 18:31:00+00:00,1841.5,1
085A,PTK001,2022-06-01 18:29:00+00:00,2022-11-28 18:29:00+00:00,1803.4,0
