,Value
2021-08-11 17:21:00+00:00,72.0
2021-08-11 17:31:00+00:00,76.0
2021-08-11 17:41:00+00:00,72.0
2021-08-11 17:51:00+00:00,72.0
2021-08-11 18:01:00+00:00,70.0
2021-08-11 18:11:00+00:00,72.0
2021-08-11 18:21:00+00:00,68.0
2021-08-11 18:31:00+00:00,70.0
2021-08-11 18:41:00+00:00,70.0
2021-08-11 18:51:00+00:00,69.0
2021-08-11 19:01:00+00:00,68.0
2021-08-11 19:11:00+00:00,66.0
2021-08-11 19:21:00+00:00,66.0
2021-08-11 19:31:00+00:00,58.0
2021-08-11 19:41:00+00:00,55.0
2021-08-11 19:51:00+00:00,59.0
2021-08-11 20:01:00+00:00,61.0
2021-08-11 20:11:00+00:00,63.0
2021-08-11 20:21:00+00:00,66.0
2021-08-11 20:31:00+00:00,65.0
2021-08-11 20:41:00+00:00,68.0
2021-08-11 20:51:00+00:00,72.0
2021-08-11 21:01:00+00:00,70.0
2021-08-11 21:11:00+00:00,70.0
2021-08-11 21:21:00+00:00,71.0
2021-08-11 21:31:00+00:00,73.0
2021-08-11 21:41:00+00:00,74.0
2021-08-11 21:51:00+00:00,72.0
2021-08-11 22:01:00+00:00,73.0
2021-08-11 22:11:00+00:00,74.0
2021-08-11 22:21:00+00:00,73.0
2021-08-11 22:31:00+00:00,73.0
2021-08-11 22:41:00+00:00,73.0
2021-08-11 22:51:00+00:00,73.0
2021-08-11 23:01:00+00:00,72.0
2021-08-11 23:11:00+00:00,74.0
2021-08-11 23:21:00+00:00,73.0
2021-08-11 23:31:00+00:00,71.0
2021-08-11 23:41:00+00:00,71.0
2021-08-11 23:51:00+00:00,71.0
2021-08-12 00:01:00+00:00,72.0
2021-08-12 00:11:00+00:00,68.0
2021-08-12 00:21:00+00:00,71.0
2021-08-12 00:31:00+00:00,72.0
2021-08-12 00:41:00+00:00,71.0
2021-08-12 00:51:00+00:00,73.0
2021-08-12 01:01:00+00:00,72.0
2021-08-12 01:11:00+00:00,73.0
2021-08-12 01:21:00+00:00,74.0
2021-08-12 01:31:00+00:00,74.0
2021-08-12 01:41:00+00:00,76.0
2021-08-12 01:51:00+00:00,74.0
2021-08-12 02:01:00+00:00,77.0
2021-08-12 02:11:00+00:00,74.0
2021-08-12 02:21:00+00:00,76.0
2021-08-12 02:31:00+00:00,77.0
2021-08-12 02:41:00+00:00,76.0
2021-08-12 02:51:00+00:00,78.0
2021-08-12 03:01:00+00:00,78.0
2021-08-12 03:11:00+00:00,78.0
2021-08-12 03:21:00+00:00,78.0
2021-08-12 03:31:00+00:00,80.0
2021-08-12 03:41:00+00:00,79.0
2021-08-12 03:51:00+00:00,80.0
2021-08-12 04:01:00+00:00,78.0
2021-08-12 04:11:00+00:00,81.0
2021-08-12 04:21:00+00:00,83.0
2021-08-12 04:31:00+00:00,82.0
2021-08-12 04:41:00+00:00,83.0
2021-08-12 04:51:00+00:00,82.0
2021-08-12 05:01:00+00:00,83.0
2021-08-12 05:11:00+00:00,84.0
2021-08-12 05:21:00+00:00,83.0
2021-08-12 05:31:00+00:00,83.0
2021-08-12 05:41:00+00:00,81.0
2021-08-12 05:51:00+00:00,103.0
2021-08-12 06:01:00+00:00,97.0
2021-08-12 06:11:00+00:00,103.0
2021-08-12 06:21:00+00:00,109.0
2021-08-12 06:31:00+00:00,115.0
2021-08-12 06:41:00+00:00,118.0
2021-08-12 06:51:00+00:00,121.0
2021-08-12 07:01:00+00:00,126.0
2021-08-12 07:11:00+00:00,126.0
2021-08-12 07:21:00+00:00,146.0
2021-08-12 07:31:00+00:00,178.0
2021-08-12 07:41:00+00:00,201.0
2021-08-12 07:51:00+00:00,214.0
2021-08-12 08:01:00+00:00,214.0
2021-08-12 08:11:00+00:00,221.0
2021-08-12 08:21:00+00:00,221.0
2021-08-12 08:31:00+00:00,223.0
2021-08-12 08:41:00+00:00,223.0
2021-08-12 08:51:00+00:00,228.0
2021-08-12 09:01:00+00:00,227.0
2021-08-12 09:11:00+00:00,233.0
2021-08-12 09:21:00+00:00,234.0
2021-08-12 09:31:00+00:00,236.0
2021-08-12 09:41:00+00:00,237.0
2021-08-12 09:51:00+00:00,238.0
2021-08-12 10:01:00+00:00,237.0
2021-08-12 10:11:00+00:00,236.0
2021-08-12 10:21:00+00:00,239.0
2021-08-12 10:31:00+00:00,241.0
2021-08-12 10:41:00+00:00,240.0
2021-08-12 10:51:00+00:00,244.0
2021-08-12 11:01:00+00:00,245.0
2021-08-12 11:11:00+00:00,244.0
2021-08-12 11:21:00+00:00,245.0
2021-08-12 11:31:00+00:00,246.0
2021-08-12 11:41:00+00:00,250.0
2021-08-12 11:51:00+00:00,255.0
2021-08-12 12:01:00+00:00,257.0
2021-08-12 12:11:00+00:00,260.0
2021-08-12 12:21:00+00:00,264.0
2021-08-12 12:31:00+00:00,267.0
2021-08-12 12:41:00+00:00,269.0
2021-08-12 12:51:00+00:00,272.0
2021-08-12 13:01:00+00:00,287.0
2021-08-12 13:11:00+00:00,302.0
2021-08-12 13:21:00+00:00,324.0
2021-08-12 13:31:00+00:00,350.0
2021-08-12 13:41:00+00:00,371.0
2021-08-12 13:51:00+00:00,395.0
2021-08-12 14:01:00+00:00,424.0
2021-08-12 14:11:00+00:00,447.0
2021-08-12 14:21:00+00:00,478.0
2021-08-12 14:31:00+00:00,500.0
2021-08-12 14:41:00+00:00,524.0
2021-08-12 14:51:00+00:00,544.0
2021-08-12 15:01:00+00:00,565.0
2021-08-12 15:11:00+00:00,587.0
2021-08-12 15:21:00+00:00,607.0
2021-08-12 15:31:00+00:00,625.0
2021-08-12 15:41:00+00:00,644.0
2021-08-12 15:51:00+00:00,659.0
2021-08-12 16:01:00+00:00,677.0
2021-08-12 16:11:00+00:00,693.0
2021-08-12 16:21:00+00:00,710.0
2021-08-12 16:31:00+00:00,724.0
2021-08-12 16:41:00+00:00,732.0
2021-08-12 16:51:00+00:00,747.0
2021-08-12 17:01:00+00:00,759.0
2021-08-12 17:11:00+00:00,771.0
2021-08-12 17:21:00+00:00,783.0
2021-08-12 17:31:00+00:00,795.0
2021-08-12 17:41:00+00:00,808.0
2021-08-12 17:51:00+00:00,819.0
2021-08-12 18:01:00+00:00,831.0
2021-08-12 18:11:00+00:00,844.0
2021-08-12 18:21:00+00:00,856.0
2021-08-12 18:31:00+00:00,866.0
2021-08-12 18:41:00+00:00,876.0
2021-08-12 18:51:00+00:00,886.0
2021-08-12 19:01:00+00:00,899.0
2021-08-12 19:11:00+00:00,911.0
2021-08-12 19:21:00+00:00,921.0
2021-08-12 19:31:00+00:00,928.0
2021-08-12 19:41:00+00:00,939.0
2021-08-12 19:51:00+00:00,951.0
2021-08-12 20:01:00+00:00,959.0
2021-08-12 20:11:00+00:00,966.0
2021-08-12 20:21:00+00:00,975.0
2021-08-12 20:31:00+00:00,982.0
2021-08-12 20:41:00+00:00,991.0
2021-08-12 20:51:00+00:00,998.0
2021-08-12 21:01:00+00:00,1006.0
2021-08-12 21:11:00+00:00,1012.0
2021-08-12 21:21:00+00:00,1020.0
2021-08-12 21:31:00+00:00,1024.0
2021-08-12 21:41:00+00:00,1029.0
2021-08-12 21:51:00+00:00,1036.0
2021-08-12 22:01:00+00:00,1041.0
2021-08-12 22:11:00+00:00,1048.0
2021-08-12 22:21:00+00:00,1054.0
2021-08-12 22:31:00+00:00,1057.0
2021-08-12 22:41:00+00:00,1062.0
2021-08-12 22:51:00+00:00,1068.0
2021-08-12 23:01:00+00:00,1071.0
2021-08-12 23:11:00+00:00,1080.0
2021-08-12 23:21:00+00:00,1082.0
2021-08-12 23:31:00+00:00,1090.0
2021-08-12 23:41:00+00:00,1094.0
2021-08-12 23:51:00+00:00,1098.0
2021-08-13 00:01:00+00:00,1104.0
2021-08-13 00:11:00+00:00,1108.0
2021-08-13 00:21:00+00:00,1113.0
2021-08-13 00:31:00+00:00,1120.0
2021-08-13 00:41:00+00:00,1126.0
2021-08-13 00:51:00+00:00,1135.0
2021-08-13 01:01:00+00:00,1139.0
2021-08-13 01:11:00+00:00,1144.0
2021-08-13 01:21:00+00:00,1149.0
2021-08-13 01:31:00+00:00,1153.0
2021-08-13 01:41:00+00:00,1158.0
2021-08-13 01:51:00+00:00,1161.0
2021-08-13 02:01:00+00:00,1165.0
2021-08-13 02:11:00+00:00,1171.0
2021-08-13 02:21:00+00:00,1173.0
2021-08-13 02:31:00+00:00,1176.0
2021-08-13 02:41:00+00:00,1177.0
2021-08-13 02:51:00+00:00,1180.0
2021-08-13 03:01:00+00:00,1181.0
2021-08-13 03:11:00+00:00,1183.0
2021-08-13 03:21:00+00:00,1184.0
2021-08-13 03:31:00+00:00,1185.0
2021-08-13 03:41:00+00:00,1186.0
2021-08-13 03:51:00+00:00,1186.0
2021-08-13 04:01:00+00:00,1184.0
2021-08-13 04:11:00+00:00,1187.0
2021-08-13 04:21:00+00:00,1183.0
2021-08-13 04:31:00+00:00,1182.0
2021-08-13 04:41:00+00:00,1180.0
2021-08-13 04:51:00+00:00,1178.0
2021-08-13 05:01:00+00:00,1175.0
2021-08-13 05:11:00+00:00,1174.0
